5 SAO,1
4 SAO,1
ĐÁNH GIÁ,0
HÀI LÒNG,1
CHĂM SÓC KHÁCH HÀNG,0
MARKETING,0
3 SAO,0
CŨNG ĐƯỢC,1
KHÔNG THỂ,-1
CHỌC TỨC,-2
KHÔNG BIẾT,-1
KHÔNG CHẮC,-1
SAI,-1
LỖI,-1
KIỆT SỨC,-1
LƯỜI,-1
KHÓ CHỊU,-2
VÔ ÍCH,-1
KHÔNG QUAN TÂM,-1
HỦY,-1
LÀM ĂN,-2
THẤT BẠI,-1
TỆ,-2
TỒI,-2
DO LỖI KỸ THUẬT,-1
NÓI DỐI,-1
ĐỨT,-1
KHÔNG HÀI LÒNG,-1
KHÔNG CẬP NHẬT,-1
QUÊN,-1
MẤT,-1
CHẬM,-1
NGỪNG,-1
TRỄ,-1
CẢNH BÁO,-1
CẢNH CÁO,-1
QUÁ TẢI,-1
TẮT,-1
HỎNG,-1
2 SAO,-1
1 SAO,-1
CHÊ,-2
RỐI,-1
TÍA,-5
TRỤC TRẶC,-1
PHỨC TẠP,-1
KHÓ KHĂN,-1
THẰNG,-5
LÀM PHIỀN,-1
MẤT THỜI GIAN,-1
MẤT THÌ GIỜ,-1
CHÁN,-1
GIẬN,-1
LO LẮNG,-1
BẤT TIỆN,-1
BỰC MÌNH,-1
KHÔNG ỔN,-1
BỰC BỘI,-1
THẤT VỌNG,-1
BẤT CẨN,-1
KHÔNG ĐỂ Ý,-1
KHÔNG CẦN BIẾT,-2
THỜ Ơ,-1
LẠM QUYỀN,-1
BỎ QUA,-1
BỎ SÓT,-1
THIẾU,-1
TRÌ HOÃN,-1
GÌ,-1
BỎ LỠ,-1
VỨT,-1
NGHĨ,-1
MẤT KIÊN NHẴN,-1
KHÔNG MINH BẠCH,-1
KHÔNG RÕ RÀNG,-1
PHỨC TẠP,-1
LOẠN,-1
CHỈ TRÍCH,-1
KIỆN,-1
PHÀN NÀN,-1
KHIẾU NẠI,-1
TỐ CÁO,-1
CÃI,-2
GÂY RỐI,-1
HÔI,-1
LỪA,-1
GIAN LẬN,-2
KHÔNG THỰC TẾ,-1
KHÔNG KHẢ THI,-1
BỎ RƠI,-1
TRỐN TRÁNH,-1
ĐAU,-1
PHIỀN,-1
BỐ,-5
NHẦM LẪN,-1
QUẤY RỐI,-1
MẤT TRẬT TỰ,-1
ỒN ÀO,-1
GẠT,-1
BIẾN,-2
CÚT,-2
PHẮN,-2
BÀ,-2
MÀY,-5
TAO,-5
MẸ,-5
CHA,-5
CẨU THẢ,-1
THÁCH THỨC,-1
ẢNH HƯỞNG,-1
SUY GIẢM,-1
CÚP,-1
CHỜ,-1
TẠM BIỆT,-1
TỨC,-1
TỐT,1
TUYỆT,1
CẢM ƠN,1
CỐ GẮNG,1
HẤP DẪN,1
TÍCH CỰC,1
HAY,1
OK,1
VUI,1
HỨNG THÚ,1